IF1207 	20120611 	1 	4 	中证期货 	1232 	148 	0018 	IF 	
IF1207 	20120611 	2 	4 	中证期货 	2052 	263 	0018 	IF 	
IF1207 	20120611 	0 	5 	广发期货 	5649 	3283 	0016 	IF 	
IF1207 	20120611 	1 	5 	南华期货 	1043 	-100 	0002 	IF 	
IF1207 	20120611 	2 	5 	广发期货 	1826 	155 	0016 	IF 	
IF1207 	20120611 	0 	6 	海通期货 	5415 	734 	0133 	IF 	
IF1207 	20120611 	1 	6 	浙江永安 	942 	242 	0003 	IF 	
IF1207 	20120611 	2 	6 	招商期货 	1464 	405 	0136 	IF 	
IF1207 	20120611 	0 	7 	南华期货 	3770 	1616 	0002 	IF 	
IF1207 	20120611 	1 	7 	广发期货 	939 	166 	0016 	IF 	
IF1207 	20120611 	2 	7 	宝城期货 	802 	-98 	0110 	IF 	
IF1207 	20120611 	0 	8 	银河期货 	3483 	1074 	0109 	IF 	
IF1207 	20120611 	1 	8 	申银万国 	894 	135 	0131 	IF 	
IF1207 	20120611 	2 	8 	中粮期货 	707 	133 	0010 	IF 	
IF1207 	20120611 	0 	9 	中证期货 	3271 	1480 	0018 	IF 	
IF1207 	20120611 	1 	9 	金瑞期货 	850 	-68 	0019 	IF 	
IF1207 	20120611 	2 	9 	华泰长城 	659 	402 	0011 	IF 	
IF1207 	20120611 	0 	10 	浙江永安 	2959 	804 	0003 	IF 	
IF1207 	20120611 	1 	10 	银河期货 	802 	185 	0109 	IF 	
IF1207 	20120611 	2 	10 	申银万国 	404 	150 	0131 	IF 	
IF1207 	20120611 	0 	11 	中国国际 	2885 	1273 	0159 	IF 	
IF1207 	20120611 	1 	11 	信达期货 	790 	335 	0017 	IF 	
IF1207 	20120611 	2 	11 	国信期货 	353 	231 	0113 	IF 	
IF1207 	20120611 	0 	12 	鲁证期货 	2808 	1180 	0006 	IF 	
IF1207 	20120611 	1 	12 	东海期货 	787 	350 	0008 	IF 	
IF1207 	20120611 	2 	12 	鲁证期货 	291 	21 	0006 	IF 	
IF1207 	20120611 	0 	13 	国信期货 	2440 	824 	0113 	IF 	
IF1207 	20120611 	1 	13 	光大期货 	742 	289 	0007 	IF 	
IF1207 	20120611 	2 	13 	银河期货 	282 	44 	0109 	IF 	
IF1207 	20120611 	0 	14 	宏源期货 	2404 	716 	0137 	IF 	
IF1207 	20120611 	1 	14 	招商期货 	631 	147 	0136 	IF 	
IF1207 	20120611 	2 	14 	南华期货 	234 	48 	0002 	IF 	
IF1207 	20120611 	0 	15 	瑞达期货 	2106 	1096 	0170 	IF 	
IF1207 	20120611 	1 	15 	浙商期货 	537 	95 	0009 	IF 	
IF1207 	20120611 	2 	15 	东海期货 	210 	145 	0008 	IF 	
IF1207 	20120611 	0 	16 	天琪期货 	2096 	514 	0168 	IF 	
IF1207 	20120611 	1 	16 	国信期货 	520 	-257 	0113 	IF 	
IF1207 	20120611 	2 	16 	上海东证 	210 	48 	0156 	IF 	
IF1207 	20120611 	0 	17 	浙商期货 	2082 	1284 	0009 	IF 	
IF1207 	20120611 	1 	17 	鲁证期货 	509 	119 	0006 	IF 	
IF1207 	20120611 	2 	17 	国都期货 	200 	2 	0130 	IF 	
IF1207 	20120611 	0 	18 	经易期货 	2031 	1202 	0101 	IF 	
IF1207 	20120611 	1 	18 	兴业期货 	489 	-9 	0102 	IF 	
IF1207 	20120611 	2 	18 	天琪期货 	192 	137 	0168 	IF 	
IF1207 	20120611 	0 	19 	东海期货 	1923 	1460 	0008 	IF 	
IF1207 	20120611 	1 	19 	北京首创 	447 	229 	0112 	IF 	
IF1207 	20120611 	2 	19 	安信期货 	188 	149 	0150 	IF 	
IF1207 	20120611 	0 	20 	招商期货 	1876 	1012 	0136 	IF 	
IF1207 	20120611 	1 	20 	瑞达期货 	396 	257 	0170 	IF 	
IF1207 	20120611 	2 	20 	平安期货 	174 	46 	0105 	IF 	
IF1206 	20120612 	0 	1 	海通期货 	50411 	-8747 	0133 	IF 	
